id,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,timestamp,rsi,ema20,ema50,volume_avg,EMA_bullish,Volume_surge,RSI_momentum,RSI_overbought,Price_dropping_below_ema20,Volume_high,signal
arbitrum-bridged-wbtc-arbitrum-one,wbtc,103378.0,849552366,175525640.0,-4.6722,2025-06-13 01:30:46.466240,63.18444040420452,20144.897284915,10907.858201332683,107459169.71428572,True,True,False,False,False,True,warming
sui,sui,2.96,10053664964,1265910788.0,-12.09496,2025-06-13 01:30:46.466240,39.362768513149874,,,568747704.2857143,False,True,False,False,False,True,strong
litecoin,ltc,82.33,6257589958,405331195.0,-9.70894,2025-06-13 01:30:46.466240,39.79934645501277,5751.410408256778,,210139851.42857143,False,True,False,False,True,True,strong
binance-bridged-usdt-bnb-smart-chain,bsc-usd,1.001,5988222063,1728206032.0,-0.00433,2025-06-13 01:30:46.466240,39.762504611362786,5203.752369375181,,420760519.14285713,False,True,False,False,True,True,strong
coinbase-wrapped-btc,cbbtc,103436.0,4674076879,397455548.0,-4.61675,2025-06-13 01:30:46.466240,78.66817901081956,12730.459082621595,,414508450.71428573,False,False,True,False,False,False,strong
pepe,pepe,1.061e-05,4468356872,1417447707.0,-14.16206,2025-06-13 01:30:46.466240,46.40875783564245,11518.034409096681,,370114404.28571427,False,True,False,False,True,True,strong
aptos,apt,4.4,2823692695,198360313.0,-12.51764,2025-06-13 01:30:46.466240,46.421487258242664,4273.265751839951,,93113225.42857143,False,True,False,False,True,True,strong
near,near,2.21,2708532560,216748323.0,-13.1876,2025-06-13 01:30:46.466240,46.42058311680708,3866.498537379003,,102599400.0,False,True,False,False,True,True,strong
ondo-finance,ondo,0.764152,2414943333,238996044.0,-11.19205,2025-06-13 01:30:46.466240,46.4267034075933,2360.5912667877706,6262.56461509248,118877845.0,False,True,False,False,True,True,strong
usd1-wlfi,usd1,1.0,2189512982,334484277.0,0.02313,2025-06-13 01:30:46.466240,46.428249205236156,1934.9421027446372,5782.138047226854,110747638.57142857,False,True,False,False,True,True,strong
mantle,mnt,0.634485,2134106453,247130390.0,-4.85513,2025-06-13 01:30:46.466240,46.427977551173214,1750.7223296261004,5555.412417335605,142079890.14285713,False,True,False,False,True,True,strong
official-trump,trump,9.8,1960406959,466721583.0,-7.81216,2025-06-13 01:30:46.466240,46.43891953046742,1298.9193402431083,4928.138012661816,200610657.0,False,True,False,False,True,True,strong
ethena,ena,0.284928,1741205672,332929316.0,-17.80487,2025-06-13 01:30:46.466240,46.42952601561131,788.1495314500131,4035.0244352809295,179226870.2857143,False,True,False,False,True,True,strong
arbitrum,arb,0.337325,1640165166,281010159.0,-15.07899,2025-06-13 01:30:46.466240,46.42990786381296,584.0776885692301,3578.846879877198,185748149.14285713,False,True,False,False,True,True,strong
first-digital-usd,fdusd,0.999801,1509901639,7859995371.0,0.17937,2025-06-13 01:30:46.466240,46.44942588777813,363.4364409288561,2934.119872177274,1267526922.2857144,False,True,False,False,True,True,strong
celestia,tia,1.77,1190910181,162416944.0,-15.33066,2025-06-13 01:30:46.466240,46.86640331701105,220.30529379404834,1961.2202285780534,47419794.28571428,False,True,False,False,True,True,strong
virtual-protocol,virtual,1.75,1146002042,397039744.0,-15.94759,2025-06-13 01:30:46.466240,47.55612382213772,573.6875828119877,1868.6926107127927,93816948.0,False,True,False,False,True,True,strong
lombard-staked-btc,lbtc,103045.0,1116846334,7693255.0,-5.01828,2025-06-13 01:30:46.466240,93.08119568818647,10284.411694773531,5766.413340377322,110253043.71428572,True,False,True,True,False,False,strong
fartcoin,fartcoin,1.11,1112923990,444453546.0,-17.517,2025-06-13 01:30:46.466240,48.10748055978226,9305.049628604622,5540.323013303702,150543986.85714287,False,True,False,False,True,True,strong
optimism,op,0.591054,1013814976,300285786.0,-15.24738,2025-06-13 01:30:46.466240,48.10738492825885,6235.666994784135,4721.2198372810235,187859640.7142857,False,True,False,False,True,True,strong
binance-bridged-usdc-bnb-smart-chain,usdc,0.999351,998351397,510933239.0,-0.07013,2025-06-13 01:30:46.466240,48.107528783982026,4618.598732837316,4187.392489013858,195913098.85714287,False,True,False,False,True,True,strong
solv-btc,solvbtc,103171.0,879348794,1827494.0,-4.74451,2025-06-13 01:30:46.466240,77.36205356775352,12514.049425616387,7398.468605442027,50090165.71428572,True,False,True,False,False,False,strong
wbnb,wbnb,643.47,856136007,435589610.0,-3.68143,2025-06-13 01:30:46.466240,48.218320241307936,11383.518051748159,7133.566699346262,106960183.14285715,False,True,False,False,True,True,strong
dogwifcoin,wif,0.808491,808471890,491938897.0,-14.51231,2025-06-13 01:30:46.466240,48.063180179308205,11684.311269610864,8902.649885410074,142953312.0,False,True,False,False,True,True,strong
clbtc,clbtc,103142.0,786879380,60.77,-2.98007,2025-06-13 01:30:46.466240,62.66911299906594,19387.763161046532,12262.881426605762,118458561.82428572,True,False,False,False,False,False,strong
lido-dao,ldo,0.795959,714815825,157364308.0,-17.27802,2025-06-13 01:30:46.466240,48.10085069249221,10651.570259136573,9653.657705952855,93730246.96714285,False,True,False,False,True,True,strong
ethereum-name-service,ens,19.84,657959302,112829131.0,-11.78931,2025-06-13 01:30:46.466240,48.10484860400877,4945.341256289593,7103.804521739791,28501635.714285713,False,True,False,False,True,True,strong
gala,gala,0.01461084,657802059,156353630.0,-13.72533,2025-06-13 01:30:46.466240,48.09892258916974,4474.357766246774,6825.224525233917,50576903.85714286,False,True,False,False,True,True,strong
polyhedra-network,zkj,2.01,619804878,8956675909.0,0.71347,2025-06-13 01:30:46.466240,48.099851473459076,2712.9270254720946,5587.966457716948,1342759137.7142856,False,True,False,False,True,True,strong
solv-protocol-solvbtc-bbn,xsolvbtc,103174.0,586539939,962295.0,-4.92622,2025-06-13 01:30:46.466240,78.80313457332018,11314.627859419725,8441.738934154122,1312463905.0,True,False,True,False,False,False,strong
pudgy-penguins,pengu,0.00917563,577909633,119364257.0,-17.77963,2025-06-13 01:30:46.466240,48.13578461322469,7584.317717614354,7194.547555348839,46409782.85714286,False,True,False,False,True,True,strong
pendle,pendle,3.55,577334551,151850421.0,-9.89156,2025-06-13 01:30:46.466240,48.13671606254388,6862.33983974632,6912.547651217512,62704789.14285714,False,True,False,False,True,True,strong
l2-standard-bridged-weth-base,weth,2496.52,532341266,869559941.0,-9.7676,2025-06-13 01:30:46.466240,49.17666903239516,3840.812964013728,5413.800134486647,140384016.57142857,False,True,False,False,True,True,strong
bitcoin-avalanche-bridged-btc-b,btc.b,103230.0,502631696,12635092.0,-4.91436,2025-06-13 01:30:46.466240,76.37903391453528,12330.490715272317,8494.165403093553,181410260.9242857,True,False,True,False,False,False,strong
syrup,syrup,0.46032,496601210,117256093.0,-5.95111,2025-06-13 01:30:46.466240,48.11712034447987,11156.202106198763,8161.078929246748,73938282.63857143,False,True,False,False,True,True,strong
tbtc,tbtc,103146.0,488961288,5908994.0,-4.84215,2025-06-13 01:30:46.466240,65.12168123462106,17476.22540817632,11086.491041084737,133684090.14285715,True,False,False,False,False,False,strong
grass,grass,1.52,439116957,78150549.0,-13.85358,2025-06-13 01:30:46.466240,48.133228760807434,7103.038064822318,7736.189739039721,37280469.71428572,False,True,False,False,True,True,strong
based-brett,brett,0.04333658,429894008,48991338.0,-19.59015,2025-06-13 01:30:46.466240,48.13283859839201,5263.782249979682,6862.68379997554,26597611.0,False,True,False,False,True,True,strong
ripple-usd,rlusd,0.999773,413662749,188607861.0,0.00149,2025-06-13 01:30:46.466240,48.13317678978698,3898.687181610263,6086.624459566264,54023158.28571428,False,True,False,False,True,True,strong
starknet,strk,0.11769,394915869,42483789.0,-14.10139,2025-06-13 01:30:46.466240,48.13287175113467,1753.637948211061,4421.021263130234,15986551.388571428,False,True,False,False,True,True,strong
arweave,ar,6.02,394261568,42013382.0,-12.09664,2025-06-13 01:30:46.466240,48.13712202052019,1587.1981436195313,4247.883958693754,21988420.285714287,False,True,False,False,True,True,strong
